Accession,Organism_Name,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Nuc_Completeness,Geo_Location,Country,Host,Isolation_Source,Collection_Date
MH887808,Mammarenavirus lassaense,"Siddle,K.J., Eromon,P., Barnes,K.G., Mehta,S., Oguzie,J.U., Odia,I., Schaffner,S.F., Winnicki,S.M., Shah,R.R., Qu,J., Wohl,S., Brehio,P., Iruolagbe,C., Aiyepada,J., Uyigue,E., Akhilomen,P., Okonofua,G., Ye,S., Kayode,T., Ajogbasile,F., Uwanibe,J., Gaye,A., Momoh,M., Chak,B., Kotliar,D., Carter,A., Gladden-Young,A., Freije,C.A., Omoregie,O., Osiemi,B., Muoebonam,E.B., Airende,M., Enigbe,R., Ebo,B., Nosamiefan,I., Oluniyi,P., Nekoui,M., Ogbaini-Emovon,E., Garry,R.F., Andersen,K.G., Park,D.J., Yozwiak,N.L., Akpede,G., Ihekweazu,C., Tomori,O., Okogbenin,S., Folarin,O.A., Okokhere,P.O., MacInnis,B.L., Sabeti,P.C., Happi,C.T., Winnicki,S., Shah,R., Yozwiak,N., Adebayo,A., Birren,B.W., Folarin,O., Okokhere,P.","Broad Institute, Infectious Disease Program",USA,2018-10-24,H.sapiens-wt/NGA/2018/LASV0088-EDO-2017,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2017-06-27
MH887809,Mammarenavirus lassaense,"Siddle,K.J., Eromon,P., Barnes,K.G., Mehta,S., Oguzie,J.U., Odia,I., Schaffner,S.F., Winnicki,S.M., Shah,R.R., Qu,J., Wohl,S., Brehio,P., Iruolagbe,C., Aiyepada,J., Uyigue,E., Akhilomen,P., Okonofua,G., Ye,S., Kayode,T., Ajogbasile,F., Uwanibe,J., Gaye,A., Momoh,M., Chak,B., Kotliar,D., Carter,A., Gladden-Young,A., Freije,C.A., Omoregie,O., Osiemi,B., Muoebonam,E.B., Airende,M., Enigbe,R., Ebo,B., Nosamiefan,I., Oluniyi,P., Nekoui,M., Ogbaini-Emovon,E., Garry,R.F., Andersen,K.G., Park,D.J., Yozwiak,N.L., Akpede,G., Ihekweazu,C., Tomori,O., Okogbenin,S., Folarin,O.A., Okokhere,P.O., MacInnis,B.L., Sabeti,P.C., Happi,C.T., Winnicki,S., Shah,R., Yozwiak,N., Adebayo,A., Birren,B.W., Folarin,O., Okokhere,P.","Broad Institute, Infectious Disease Program",USA,2018-10-24,H.sapiens-wt/NGA/2018/LASV0142-IMO-2018,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2018-01-19
MH887810,Mammarenavirus lassaense,"Siddle,K.J., Eromon,P., Barnes,K.G., Mehta,S., Oguzie,J.U., Odia,I., Schaffner,S.F., Winnicki,S.M., Shah,R.R., Qu,J., Wohl,S., Brehio,P., Iruolagbe,C., Aiyepada,J., Uyigue,E., Akhilomen,P., Okonofua,G., Ye,S., Kayode,T., Ajogbasile,F., Uwanibe,J., Gaye,A., Momoh,M., Chak,B., Kotliar,D., Carter,A., Gladden-Young,A., Freije,C.A., Omoregie,O., Osiemi,B., Muoebonam,E.B., Airende,M., Enigbe,R., Ebo,B., Nosamiefan,I., Oluniyi,P., Nekoui,M., Ogbaini-Emovon,E., Garry,R.F., Andersen,K.G., Park,D.J., Yozwiak,N.L., Akpede,G., Ihekweazu,C., Tomori,O., Okogbenin,S., Folarin,O.A., Okokhere,P.O., MacInnis,B.L., Sabeti,P.C., Happi,C.T., Winnicki,S., Shah,R., Yozwiak,N., Adebayo,A., Birren,B.W., Folarin,O., Okokhere,P.","Broad Institute, Infectious Disease Program",USA,2018-10-24,H.sapiens-wt/NGA/2018/LASV0149-KOGI-2018,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2018-01-30
MH887811,Mammarenavirus lassaense,"Siddle,K.J., Eromon,P., Barnes,K.G., Mehta,S., Oguzie,J.U., Odia,I., Schaffner,S.F., Winnicki,S.M., Shah,R.R., Qu,J., Wohl,S., Brehio,P., Iruolagbe,C., Aiyepada,J., Uyigue,E., Akhilomen,P., Okonofua,G., Ye,S., Kayode,T., Ajogbasile,F., Uwanibe,J., Gaye,A., Momoh,M., Chak,B., Kotliar,D., Carter,A., Gladden-Young,A., Freije,C.A., Omoregie,O., Osiemi,B., Muoebonam,E.B., Airende,M., Enigbe,R., Ebo,B., Nosamiefan,I., Oluniyi,P., Nekoui,M., Ogbaini-Emovon,E., Garry,R.F., Andersen,K.G., Park,D.J., Yozwiak,N.L., Akpede,G., Ihekweazu,C., Tomori,O., Okogbenin,S., Folarin,O.A., Okokhere,P.O., MacInnis,B.L., Sabeti,P.C., Happi,C.T., Winnicki,S., Shah,R., Yozwiak,N., Adebayo,A., Birren,B.W., Folarin,O., Okokhere,P.","Broad Institute, Infectious Disease Program",USA,2018-10-24,H.sapiens-wt/NGA/2018/LASV0084-EDO-2017,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2017-06-16
MH887812,Mammarenavirus lassaense,"Siddle,K.J., Eromon,P., Barnes,K.G., Mehta,S., Oguzie,J.U., Odia,I., Schaffner,S.F., Winnicki,S.M., Shah,R.R., Qu,J., Wohl,S., Brehio,P., Iruolagbe,C., Aiyepada,J., Uyigue,E., Akhilomen,P., Okonofua,G., Ye,S., Kayode,T., Ajogbasile,F., Uwanibe,J., Gaye,A., Momoh,M., Chak,B., Kotliar,D., Carter,A., Gladden-Young,A., Freije,C.A., Omoregie,O., Osiemi,B., Muoebonam,E.B., Airende,M., Enigbe,R., Ebo,B., Nosamiefan,I., Oluniyi,P., Nekoui,M., Ogbaini-Emovon,E., Garry,R.F., Andersen,K.G., Park,D.J., Yozwiak,N.L., Akpede,G., Ihekweazu,C., Tomori,O., Okogbenin,S., Folarin,O.A., Okokhere,P.O., MacInnis,B.L., Sabeti,P.C., Happi,C.T., Winnicki,S., Shah,R., Yozwiak,N., Adebayo,A., Birren,B.W., Folarin,O., Okokhere,P.","Broad Institute, Infectious Disease Program",USA,2018-10-24,H.sapiens-wt/NGA/2018/LASV0184-ONDO-2018,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2018-02-13
MH887813,Mammarenavirus lassaense,"Siddle,K.J., Eromon,P., Barnes,K.G., Mehta,S., Oguzie,J.U., Odia,I., Schaffner,S.F., Winnicki,S.M., Shah,R.R., Qu,J., Wohl,S., Brehio,P., Iruolagbe,C., Aiyepada,J., Uyigue,E., Akhilomen,P., Okonofua,G., Ye,S., Kayode,T., Ajogbasile,F., Uwanibe,J., Gaye,A., Momoh,M., Chak,B., Kotliar,D., Carter,A., Gladden-Young,A., Freije,C.A., Omoregie,O., Osiemi,B., Muoebonam,E.B., Airende,M., Enigbe,R., Ebo,B., Nosamiefan,I., Oluniyi,P., Nekoui,M., Ogbaini-Emovon,E., Garry,R.F., Andersen,K.G., Park,D.J., Yozwiak,N.L., Akpede,G., Ihekweazu,C., Tomori,O., Okogbenin,S., Folarin,O.A., Okokhere,P.O., MacInnis,B.L., Sabeti,P.C., Happi,C.T., Winnicki,S., Shah,R., Yozwiak,N., Adebayo,A., Birren,B.W., Folarin,O., Okokhere,P.","Broad Institute, Infectious Disease Program",USA,2018-10-24,H.sapiens-wt/NGA/2018/LASV0199-EDO-2018,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2018-02-20
MH887814,Mammarenavirus lassaense,"Siddle,K.J., Eromon,P., Barnes,K.G., Mehta,S., Oguzie,J.U., Odia,I., Schaffner,S.F., Winnicki,S.M., Shah,R.R., Qu,J., Wohl,S., Brehio,P., Iruolagbe,C., Aiyepada,J., Uyigue,E., Akhilomen,P., Okonofua,G., Ye,S., Kayode,T., Ajogbasile,F., Uwanibe,J., Gaye,A., Momoh,M., Chak,B., Kotliar,D., Carter,A., Gladden-Young,A., Freije,C.A., Omoregie,O., Osiemi,B., Muoebonam,E.B., Airende,M., Enigbe,R., Ebo,B., Nosamiefan,I., Oluniyi,P., Nekoui,M., Ogbaini-Emovon,E., Garry,R.F., Andersen,K.G., Park,D.J., Yozwiak,N.L., Akpede,G., Ihekweazu,C., Tomori,O., Okogbenin,S., Folarin,O.A., Okokhere,P.O., MacInnis,B.L., Sabeti,P.C., Happi,C.T., Winnicki,S., Shah,R., Yozwiak,N., Adebayo,A., Birren,B.W., Folarin,O., Okokhere,P.","Broad Institute, Infectious Disease Program",USA,2018-10-24,H.sapiens-wt/NGA/2018/LASV0176-EDO-2018,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2018-02-12
MH887815,Mammarenavirus lassaense,"Siddle,K.J., Eromon,P., Barnes,K.G., Mehta,S., Oguzie,J.U., Odia,I., Schaffner,S.F., Winnicki,S.M., Shah,R.R., Qu,J., Wohl,S., Brehio,P., Iruolagbe,C., Aiyepada,J., Uyigue,E., Akhilomen,P., Okonofua,G., Ye,S., Kayode,T., Ajogbasile,F., Uwanibe,J., Gaye,A., Momoh,M., Chak,B., Kotliar,D., Carter,A., Gladden-Young,A., Freije,C.A., Omoregie,O., Osiemi,B., Muoebonam,E.B., Airende,M., Enigbe,R., Ebo,B., Nosamiefan,I., Oluniyi,P., Nekoui,M., Ogbaini-Emovon,E., Garry,R.F., Andersen,K.G., Park,D.J., Yozwiak,N.L., Akpede,G., Ihekweazu,C., Tomori,O., Okogbenin,S., Folarin,O.A., Okokhere,P.O., MacInnis,B.L., Sabeti,P.C., Happi,C.T., Winnicki,S., Shah,R., Yozwiak,N., Adebayo,A., Birren,B.W., Folarin,O., Okokhere,P.","Broad Institute, Infectious Disease Program",USA,2018-10-24,H.sapiens-wt/NGA/2018/LASV0133-EDO-2018,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2018-01-16
MH887816,Mammarenavirus lassaense,"Siddle,K.J., Eromon,P., Barnes,K.G., Mehta,S., Oguzie,J.U., Odia,I., Schaffner,S.F., Winnicki,S.M., Shah,R.R., Qu,J., Wohl,S., Brehio,P., Iruolagbe,C., Aiyepada,J., Uyigue,E., Akhilomen,P., Okonofua,G., Ye,S., Kayode,T., Ajogbasile,F., Uwanibe,J., Gaye,A., Momoh,M., Chak,B., Kotliar,D., Carter,A., Gladden-Young,A., Freije,C.A., Omoregie,O., Osiemi,B., Muoebonam,E.B., Airende,M., Enigbe,R., Ebo,B., Nosamiefan,I., Oluniyi,P., Nekoui,M., Ogbaini-Emovon,E., Garry,R.F., Andersen,K.G., Park,D.J., Yozwiak,N.L., Akpede,G., Ihekweazu,C., Tomori,O., Okogbenin,S., Folarin,O.A., Okokhere,P.O., MacInnis,B.L., Sabeti,P.C., Happi,C.T., Winnicki,S., Shah,R., Yozwiak,N., Adebayo,A., Birren,B.W., Folarin,O., Okokhere,P.","Broad Institute, Infectious Disease Program",USA,2018-10-24,H.sapiens-wt/NGA/2018/LASV0130-EDO-2018,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2018-01-15
MH887817,Mammarenavirus lassaense,"Siddle,K.J., Eromon,P., Barnes,K.G., Mehta,S., Oguzie,J.U., Odia,I., Schaffner,S.F., Winnicki,S.M., Shah,R.R., Qu,J., Wohl,S., Brehio,P., Iruolagbe,C., Aiyepada,J., Uyigue,E., Akhilomen,P., Okonofua,G., Ye,S., Kayode,T., Ajogbasile,F., Uwanibe,J., Gaye,A., Momoh,M., Chak,B., Kotliar,D., Carter,A., Gladden-Young,A., Freije,C.A., Omoregie,O., Osiemi,B., Muoebonam,E.B., Airende,M., Enigbe,R., Ebo,B., Nosamiefan,I., Oluniyi,P., Nekoui,M., Ogbaini-Emovon,E., Garry,R.F., Andersen,K.G., Park,D.J., Yozwiak,N.L., Akpede,G., Ihekweazu,C., Tomori,O., Okogbenin,S., Folarin,O.A., Okokhere,P.O., MacInnis,B.L., Sabeti,P.C., Happi,C.T., Winnicki,S., Shah,R., Yozwiak,N., Adebayo,A., Birren,B.W., Folarin,O., Okokhere,P.","Broad Institute, Infectious Disease Program",USA,2018-10-24,H.sapiens-wt/NGA/2018/LASV0073-EDO-2017,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2017-03-07
MH887818,Mammarenavirus lassaense,"Siddle,K.J., Eromon,P., Barnes,K.G., Mehta,S., Oguzie,J.U., Odia,I., Schaffner,S.F., Winnicki,S.M., Shah,R.R., Qu,J., Wohl,S., Brehio,P., Iruolagbe,C., Aiyepada,J., Uyigue,E., Akhilomen,P., Okonofua,G., Ye,S., Kayode,T., Ajogbasile,F., Uwanibe,J., Gaye,A., Momoh,M., Chak,B., Kotliar,D., Carter,A., Gladden-Young,A., Freije,C.A., Omoregie,O., Osiemi,B., Muoebonam,E.B., Airende,M., Enigbe,R., Ebo,B., Nosamiefan,I., Oluniyi,P., Nekoui,M., Ogbaini-Emovon,E., Garry,R.F., Andersen,K.G., Park,D.J., Yozwiak,N.L., Akpede,G., Ihekweazu,C., Tomori,O., Okogbenin,S., Folarin,O.A., Okokhere,P.O., MacInnis,B.L., Sabeti,P.C., Happi,C.T., Winnicki,S., Shah,R., Yozwiak,N., Adebayo,A., Birren,B.W., Folarin,O., Okokhere,P.","Broad Institute, Infectious Disease Program",USA,2018-10-24,H.sapiens-wt/NGA/2018/LASV0159-KOGI-2018,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2018-02-06
MH887819,Mammarenavirus lassaense,"Siddle,K.J., Eromon,P., Barnes,K.G., Mehta,S., Oguzie,J.U., Odia,I., Schaffner,S.F., Winnicki,S.M., Shah,R.R., Qu,J., Wohl,S., Brehio,P., Iruolagbe,C., Aiyepada,J., Uyigue,E., Akhilomen,P., Okonofua,G., Ye,S., Kayode,T., Ajogbasile,F., Uwanibe,J., Gaye,A., Momoh,M., Chak,B., Kotliar,D., Carter,A., Gladden-Young,A., Freije,C.A., Omoregie,O., Osiemi,B., Muoebonam,E.B., Airende,M., Enigbe,R., Ebo,B., Nosamiefan,I., Oluniyi,P., Nekoui,M., Ogbaini-Emovon,E., Garry,R.F., Andersen,K.G., Park,D.J., Yozwiak,N.L., Akpede,G., Ihekweazu,C., Tomori,O., Okogbenin,S., Folarin,O.A., Okokhere,P.O., MacInnis,B.L., Sabeti,P.C., Happi,C.T., Winnicki,S., Shah,R., Yozwiak,N., Adebayo,A., Birren,B.W., Folarin,O., Okokhere,P.","Broad Institute, Infectious Disease Program",USA,2018-10-24,H.sapiens-wt/NGA/2018/LASV0140-EDO-2018,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2018-01-18
MH887820,Mammarenavirus lassaense,"Siddle,K.J., Eromon,P., Barnes,K.G., Mehta,S., Oguzie,J.U., Odia,I., Schaffner,S.F., Winnicki,S.M., Shah,R.R., Qu,J., Wohl,S., Brehio,P., Iruolagbe,C., Aiyepada,J., Uyigue,E., Akhilomen,P., Okonofua,G., Ye,S., Kayode,T., Ajogbasile,F., Uwanibe,J., Gaye,A., Momoh,M., Chak,B., Kotliar,D., Carter,A., Gladden-Young,A., Freije,C.A., Omoregie,O., Osiemi,B., Muoebonam,E.B., Airende,M., Enigbe,R., Ebo,B., Nosamiefan,I., Oluniyi,P., Nekoui,M., Ogbaini-Emovon,E., Garry,R.F., Andersen,K.G., Park,D.J., Yozwiak,N.L., Akpede,G., Ihekweazu,C., Tomori,O., Okogbenin,S., Folarin,O.A., Okokhere,P.O., MacInnis,B.L., Sabeti,P.C., Happi,C.T., Winnicki,S., Shah,R., Yozwiak,N., Adebayo,A., Birren,B.W., Folarin,O., Okokhere,P.","Broad Institute, Infectious Disease Program",USA,2018-10-24,H.sapiens-wt/NGA/2018/LASV0126-EBONYI-2018,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2018-01-13
MH887821,Mammarenavirus lassaense,"Siddle,K.J., Eromon,P., Barnes,K.G., Mehta,S., Oguzie,J.U., Odia,I., Schaffner,S.F., Winnicki,S.M., Shah,R.R., Qu,J., Wohl,S., Brehio,P., Iruolagbe,C., Aiyepada,J., Uyigue,E., Akhilomen,P., Okonofua,G., Ye,S., Kayode,T., Ajogbasile,F., Uwanibe,J., Gaye,A., Momoh,M., Chak,B., Kotliar,D., Carter,A., Gladden-Young,A., Freije,C.A., Omoregie,O., Osiemi,B., Muoebonam,E.B., Airende,M., Enigbe,R., Ebo,B., Nosamiefan,I., Oluniyi,P., Nekoui,M., Ogbaini-Emovon,E., Garry,R.F., Andersen,K.G., Park,D.J., Yozwiak,N.L., Akpede,G., Ihekweazu,C., Tomori,O., Okogbenin,S., Folarin,O.A., Okokhere,P.O., MacInnis,B.L., Sabeti,P.C., Happi,C.T., Winnicki,S., Shah,R., Yozwiak,N., Adebayo,A., Birren,B.W., Folarin,O., Okokhere,P.","Broad Institute, Infectious Disease Program",USA,2018-10-24,H.sapiens-wt/NGA/2018/LASV0164-ONDO-2018,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2018-02-09
MH887822,Mammarenavirus lassaense,"Siddle,K.J., Eromon,P., Barnes,K.G., Mehta,S., Oguzie,J.U., Odia,I., Schaffner,S.F., Winnicki,S.M., Shah,R.R., Qu,J., Wohl,S., Brehio,P., Iruolagbe,C., Aiyepada,J., Uyigue,E., Akhilomen,P., Okonofua,G., Ye,S., Kayode,T., Ajogbasile,F., Uwanibe,J., Gaye,A., Momoh,M., Chak,B., Kotliar,D., Carter,A., Gladden-Young,A., Freije,C.A., Omoregie,O., Osiemi,B., Muoebonam,E.B., Airende,M., Enigbe,R., Ebo,B., Nosamiefan,I., Oluniyi,P., Nekoui,M., Ogbaini-Emovon,E., Garry,R.F., Andersen,K.G., Park,D.J., Yozwiak,N.L., Akpede,G., Ihekweazu,C., Tomori,O., Okogbenin,S., Folarin,O.A., Okokhere,P.O., MacInnis,B.L., Sabeti,P.C., Happi,C.T., Winnicki,S., Shah,R., Yozwiak,N., Adebayo,A., Birren,B.W., Folarin,O., Okokhere,P.","Broad Institute, Infectious Disease Program",USA,2018-10-24,H.sapiens-wt/NGA/2018/LASV0071-EDO-2017,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2017-02-14
MH887823,Mammarenavirus lassaense,"Siddle,K.J., Eromon,P., Barnes,K.G., Mehta,S., Oguzie,J.U., Odia,I., Schaffner,S.F., Winnicki,S.M., Shah,R.R., Qu,J., Wohl,S., Brehio,P., Iruolagbe,C., Aiyepada,J., Uyigue,E., Akhilomen,P., Okonofua,G., Ye,S., Kayode,T., Ajogbasile,F., Uwanibe,J., Gaye,A., Momoh,M., Chak,B., Kotliar,D., Carter,A., Gladden-Young,A., Freije,C.A., Omoregie,O., Osiemi,B., Muoebonam,E.B., Airende,M., Enigbe,R., Ebo,B., Nosamiefan,I., Oluniyi,P., Nekoui,M., Ogbaini-Emovon,E., Garry,R.F., Andersen,K.G., Park,D.J., Yozwiak,N.L., Akpede,G., Ihekweazu,C., Tomori,O., Okogbenin,S., Folarin,O.A., Okokhere,P.O., MacInnis,B.L., Sabeti,P.C., Happi,C.T., Winnicki,S., Shah,R., Yozwiak,N., Adebayo,A., Birren,B.W., Folarin,O., Okokhere,P.","Broad Institute, Infectious Disease Program",USA,2018-10-24,H.sapiens-wt/NGA/2018/LASV0100-EDO-2017,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2017-10-18
MH887824,Mammarenavirus lassaense,"Siddle,K.J., Eromon,P., Barnes,K.G., Mehta,S., Oguzie,J.U., Odia,I., Schaffner,S.F., Winnicki,S.M., Shah,R.R., Qu,J., Wohl,S., Brehio,P., Iruolagbe,C., Aiyepada,J., Uyigue,E., Akhilomen,P., Okonofua,G., Ye,S., Kayode,T., Ajogbasile,F., Uwanibe,J., Gaye,A., Momoh,M., Chak,B., Kotliar,D., Carter,A., Gladden-Young,A., Freije,C.A., Omoregie,O., Osiemi,B., Muoebonam,E.B., Airende,M., Enigbe,R., Ebo,B., Nosamiefan,I., Oluniyi,P., Nekoui,M., Ogbaini-Emovon,E., Garry,R.F., Andersen,K.G., Park,D.J., Yozwiak,N.L., Akpede,G., Ihekweazu,C., Tomori,O., Okogbenin,S., Folarin,O.A., Okokhere,P.O., MacInnis,B.L., Sabeti,P.C., Happi,C.T., Winnicki,S., Shah,R., Yozwiak,N., Adebayo,A., Birren,B.W., Folarin,O., Okokhere,P.","Broad Institute, Infectious Disease Program",USA,2018-10-24,H.sapiens-wt/NGA/2018/LASV0202-EDO-2018,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2018-02-22
MH887825,Mammarenavirus lassaense,"Siddle,K.J., Eromon,P., Barnes,K.G., Mehta,S., Oguzie,J.U., Odia,I., Schaffner,S.F., Winnicki,S.M., Shah,R.R., Qu,J., Wohl,S., Brehio,P., Iruolagbe,C., Aiyepada,J., Uyigue,E., Akhilomen,P., Okonofua,G., Ye,S., Kayode,T., Ajogbasile,F., Uwanibe,J., Gaye,A., Momoh,M., Chak,B., Kotliar,D., Carter,A., Gladden-Young,A., Freije,C.A., Omoregie,O., Osiemi,B., Muoebonam,E.B., Airende,M., Enigbe,R., Ebo,B., Nosamiefan,I., Oluniyi,P., Nekoui,M., Ogbaini-Emovon,E., Garry,R.F., Andersen,K.G., Park,D.J., Yozwiak,N.L., Akpede,G., Ihekweazu,C., Tomori,O., Okogbenin,S., Folarin,O.A., Okokhere,P.O., MacInnis,B.L., Sabeti,P.C., Happi,C.T., Winnicki,S., Shah,R., Yozwiak,N., Adebayo,A., Birren,B.W., Folarin,O., Okokhere,P.","Broad Institute, Infectious Disease Program",USA,2018-10-24,H.sapiens-wt/NGA/2018/LASV0214-KOGI-2018,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2018-03-18
MH887826,Mammarenavirus lassaense,"Siddle,K.J., Eromon,P., Barnes,K.G., Mehta,S., Oguzie,J.U., Odia,I., Schaffner,S.F., Winnicki,S.M., Shah,R.R., Qu,J., Wohl,S., Brehio,P., Iruolagbe,C., Aiyepada,J., Uyigue,E., Akhilomen,P., Okonofua,G., Ye,S., Kayode,T., Ajogbasile,F., Uwanibe,J., Gaye,A., Momoh,M., Chak,B., Kotliar,D., Carter,A., Gladden-Young,A., Freije,C.A., Omoregie,O., Osiemi,B., Muoebonam,E.B., Airende,M., Enigbe,R., Ebo,B., Nosamiefan,I., Oluniyi,P., Nekoui,M., Ogbaini-Emovon,E., Garry,R.F., Andersen,K.G., Park,D.J., Yozwiak,N.L., Akpede,G., Ihekweazu,C., Tomori,O., Okogbenin,S., Folarin,O.A., Okokhere,P.O., MacInnis,B.L., Sabeti,P.C., Happi,C.T., Winnicki,S., Shah,R., Yozwiak,N., Adebayo,A., Birren,B.W., Folarin,O., Okokhere,P.","Broad Institute, Infectious Disease Program",USA,2018-10-24,H.sapiens-wt/NGA/2018/LASV0085-EDO-2017,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2017-06-17
MH887827,Mammarenavirus lassaense,"Siddle,K.J., Eromon,P., Barnes,K.G., Mehta,S., Oguzie,J.U., Odia,I., Schaffner,S.F., Winnicki,S.M., Shah,R.R., Qu,J., Wohl,S., Brehio,P., Iruolagbe,C., Aiyepada,J., Uyigue,E., Akhilomen,P., Okonofua,G., Ye,S., Kayode,T., Ajogbasile,F., Uwanibe,J., Gaye,A., Momoh,M., Chak,B., Kotliar,D., Carter,A., Gladden-Young,A., Freije,C.A., Omoregie,O., Osiemi,B., Muoebonam,E.B., Airende,M., Enigbe,R., Ebo,B., Nosamiefan,I., Oluniyi,P., Nekoui,M., Ogbaini-Emovon,E., Garry,R.F., Andersen,K.G., Park,D.J., Yozwiak,N.L., Akpede,G., Ihekweazu,C., Tomori,O., Okogbenin,S., Folarin,O.A., Okokhere,P.O., MacInnis,B.L., Sabeti,P.C., Happi,C.T., Winnicki,S., Shah,R., Yozwiak,N., Adebayo,A., Birren,B.W., Folarin,O., Okokhere,P.","Broad Institute, Infectious Disease Program",USA,2018-10-24,H.sapiens-wt/NGA/2018/LASV0067-EDO-2017,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2017-01-24
MH887828,Mammarenavirus lassaense,"Siddle,K.J., Eromon,P., Barnes,K.G., Mehta,S., Oguzie,J.U., Odia,I., Schaffner,S.F., Winnicki,S.M., Shah,R.R., Qu,J., Wohl,S., Brehio,P., Iruolagbe,C., Aiyepada,J., Uyigue,E., Akhilomen,P., Okonofua,G., Ye,S., Kayode,T., Ajogbasile,F., Uwanibe,J., Gaye,A., Momoh,M., Chak,B., Kotliar,D., Carter,A., Gladden-Young,A., Freije,C.A., Omoregie,O., Osiemi,B., Muoebonam,E.B., Airende,M., Enigbe,R., Ebo,B., Nosamiefan,I., Oluniyi,P., Nekoui,M., Ogbaini-Emovon,E., Garry,R.F., Andersen,K.G., Park,D.J., Yozwiak,N.L., Akpede,G., Ihekweazu,C., Tomori,O., Okogbenin,S., Folarin,O.A., Okokhere,P.O., MacInnis,B.L., Sabeti,P.C., Happi,C.T., Winnicki,S., Shah,R., Yozwiak,N., Adebayo,A., Birren,B.W., Folarin,O., Okokhere,P.","Broad Institute, Infectious Disease Program",USA,2018-10-24,H.sapiens-wt/NGA/2018/LASV0195-EBONYI-2018,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2018-02-17
MH887829,Mammarenavirus lassaense,"Siddle,K.J., Eromon,P., Barnes,K.G., Mehta,S., Oguzie,J.U., Odia,I., Schaffner,S.F., Winnicki,S.M., Shah,R.R., Qu,J., Wohl,S., Brehio,P., Iruolagbe,C., Aiyepada,J., Uyigue,E., Akhilomen,P., Okonofua,G., Ye,S., Kayode,T., Ajogbasile,F., Uwanibe,J., Gaye,A., Momoh,M., Chak,B., Kotliar,D., Carter,A., Gladden-Young,A., Freije,C.A., Omoregie,O., Osiemi,B., Muoebonam,E.B., Airende,M., Enigbe,R., Ebo,B., Nosamiefan,I., Oluniyi,P., Nekoui,M., Ogbaini-Emovon,E., Garry,R.F., Andersen,K.G., Park,D.J., Yozwiak,N.L., Akpede,G., Ihekweazu,C., Tomori,O., Okogbenin,S., Folarin,O.A., Okokhere,P.O., MacInnis,B.L., Sabeti,P.C., Happi,C.T., Winnicki,S., Shah,R., Yozwiak,N., Adebayo,A., Birren,B.W., Folarin,O., Okokhere,P.","Broad Institute, Infectious Disease Program",USA,2018-10-24,H.sapiens-wt/NGA/2018/LASV0185-ONDO-2018,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,2018-02-13
